name,playcount,listeners,mbid,url,streamable,image/0/#text,image/0/size,image/1/#text,image/1/size,image/2/#text,image/2/size,image/3/#text,image/3/size,image/4/#text,image/4/size
The Cranberries,43762,13985,c98d40fd-f6cf-4b26-883e-eaa515ee2851,http://www.last.fm/music/The+Cranberries,0,http://userserve-ak.last.fm/serve/34/47928799.png,small,http://userserve-ak.last.fm/serve/64/47928799.png,medium,http://userserve-ak.last.fm/serve/126/47928799.png,large,http://userserve-ak.last.fm/serve/252/47928799.png,extralarge,http://userserve-ak.last.fm/serve/500/47928799/The+Cranberries+01.png,mega
Scorpions,65446,13969,5dc3d829-9131-4732-839a-432c9cd35c38,http://www.last.fm/music/Scorpions,0,http://userserve-ak.last.fm/serve/34/364306.jpg,small,http://userserve-ak.last.fm/serve/64/364306.jpg,medium,http://userserve-ak.last.fm/serve/126/364306.jpg,large,http://userserve-ak.last.fm/serve/252/364306.jpg,extralarge,http://userserve-ak.last.fm/serve/500/364306/Scorpions.jpg,mega
"Tyler, the Creator",101764,13873,f6beac20-5dfe-4d1f-ae02-0b0a740aafd6,"http://www.last.fm/music/Tyler,+the+Creator",0,http://userserve-ak.last.fm/serve/34/74364634.png,small,http://userserve-ak.last.fm/serve/64/74364634.png,medium,http://userserve-ak.last.fm/serve/126/74364634.png,large,http://userserve-ak.last.fm/serve/252/74364634.png,extralarge,http://userserve-ak.last.fm/serve/500/74364634/Tyler+the+Creator.png,mega
Madeon,70747,13805,fa1de503-aba7-41fa-a1ed-371b3e87a717,http://www.last.fm/music/Madeon,0,http://userserve-ak.last.fm/serve/34/86289239.png,small,http://userserve-ak.last.fm/serve/64/86289239.png,medium,http://userserve-ak.last.fm/serve/126/86289239.png,large,http://userserve-ak.last.fm/serve/252/86289239.png,extralarge,http://userserve-ak.last.fm/serve/_/86289239/Madeon+PNG.png,mega
Mr. Probz,25597,13728,9bb64b8f-d7a4-4fc0-954f-9c9e9d7b3bc3,http://www.last.fm/music/Mr.+Probz,0,http://userserve-ak.last.fm/serve/34/101286421.png,small,http://userserve-ak.last.fm/serve/64/101286421.png,medium,http://userserve-ak.last.fm/serve/126/101286421.png,large,http://userserve-ak.last.fm/serve/252/101286421.png,extralarge,http://userserve-ak.last.fm/serve/500/101286421/Mr+Probz+MrProbz++ILJA+MEEFOUT+PNG.png,mega
Tycho,71695,13723,6d56f5cf-211b-418a-ace2-2983c33f530f,http://www.last.fm/music/Tycho,0,http://userserve-ak.last.fm/serve/34/101184549.jpg,small,http://userserve-ak.last.fm/serve/64/101184549.jpg,medium,http://userserve-ak.last.fm/serve/126/101184549.jpg,large,http://userserve-ak.last.fm/serve/252/101184549.jpg,extralarge,http://userserve-ak.last.fm/serve/500/101184549/Tycho+Reuben_Wu__second_edit+1.jpg,mega
Soundgarden,50248,13702,153c9281-268f-4cf3-8938-f5a4593e5df4,http://www.last.fm/music/Soundgarden,0,http://userserve-ak.last.fm/serve/34/22757357.jpg,small,http://userserve-ak.last.fm/serve/64/22757357.jpg,medium,http://userserve-ak.last.fm/serve/126/22757357.jpg,large,http://userserve-ak.last.fm/serve/252/22757357.jpg,extralarge,http://userserve-ak.last.fm/serve/_/22757357/Soundgarden.jpg,mega
Nick Jonas,41683,13631,d7baf435-0df0-4227-9b8f-aa1d8681988b,http://www.last.fm/music/Nick+Jonas,0,http://userserve-ak.last.fm/serve/34/102981607.jpg,small,http://userserve-ak.last.fm/serve/64/102981607.jpg,medium,http://userserve-ak.last.fm/serve/126/102981607.jpg,large,http://userserve-ak.last.fm/serve/252/102981607.jpg,extralarge,http://userserve-ak.last.fm/serve/500/102981607/Nick+Jonas+NickJonasLastFM.jpg,mega
Twenty One Pilots,123011,13632,a6c6897a-7415-4f8d-b5a5-3a5e05f3be67,http://www.last.fm/music/Twenty+One+Pilots,0,http://userserve-ak.last.fm/serve/34/104532699.png,small,http://userserve-ak.last.fm/serve/64/104532699.png,medium,http://userserve-ak.last.fm/serve/126/104532699.png,large,http://userserve-ak.last.fm/serve/252/104532699.png,extralarge,http://userserve-ak.last.fm/serve/_/104532699/Twenty+One+Pilots+png.png,mega
The Vaccines,51956,13621,aa76ec08-45ab-4724-9411-d80b0e59ac59,http://www.last.fm/music/The+Vaccines,0,http://userserve-ak.last.fm/serve/34/79098513.png,small,http://userserve-ak.last.fm/serve/64/79098513.png,medium,http://userserve-ak.last.fm/serve/126/79098513.png,large,http://userserve-ak.last.fm/serve/252/79098513.png,extralarge,http://userserve-ak.last.fm/serve/_/79098513/The+Vaccines+vaccines.png,mega
